id,nameJP,name,total,man,woman
1,北海道,Hokkaido,5.54E+06,2.62E+06,2.92E+06
2,青森県,Aomori,1.39E+06,6.54E+05,7.38E+05
3,岩手県,Iwate,1.35E+06,6.45E+05,7.07E+05
4,宮城県,Miyagi,2.34E+06,1.14E+06,1.21E+06
5,秋田県,Akita,1.11E+06,5.21E+05,5.87E+05
6,山形県,Yamagata,1.19E+06,5.70E+05,6.18E+05
7,福島県,Fukushima,2.05E+06,9.96E+05,1.06E+06
8,茨城県,Ibaraki,2.96E+06,1.48E+06,1.49E+06
9,栃木県,Tochigi,2.01E+06,1.00E+06,1.01E+06
10,群馬県,Gunma,2.01E+06,9.90E+05,1.02E+06
11,埼玉県,Saitama,7.11E+06,3.58E+06,3.53E+06
12,千葉県,Chiba,6.12E+06,3.06E+06,3.06E+06
13,東京都,Tokyo,1.28E+07,6.39E+06,6.45E+06
14,神奈川県,Kanagawa,8.92E+06,4.50E+06,4.42E+06
15,新潟県,Niigata,2.39E+06,1.16E+06,1.24E+06
16,富山県,Toyama,1.10E+06,5.31E+05,5.71E+05
17,石川県,Ishikawa,1.17E+06,5.64E+05,6.04E+05
18,福井県,Fukui,8.12E+05,3.93E+05,4.19E+05
19,山梨県,Yamanashi,8.71E+05,4.26E+05,4.45E+05
20,長野県,Nagano,2.17E+06,1.06E+06,1.12E+06
21,岐阜県,Gifu,2.10E+06,1.02E+06,1.08E+06
22,静岡県,Shizuoka,3.80E+06,1.88E+06,1.93E+06
23,愛知県,Aichi,7.40E+06,3.72E+06,3.68E+06
24,三重県,Mie,1.88E+06,9.13E+05,9.62E+05
25,滋賀県,Shiga,1.40E+06,6.94E+05,7.08E+05
26,京都府,Kyoto,2.63E+06,1.26E+06,1.37E+06
27,大阪府,Osaka,8.81E+06,4.26E+06,4.54E+06
28,兵庫県,Hyogo,5.59E+06,2.67E+06,2.91E+06
29,奈良県,Nara,1.40E+06,6.66E+05,7.38E+05
30,和歌山県,Wakayama,1.01E+06,4.75E+05,5.36E+05
31,鳥取県,Tottori,5.95E+05,2.84E+05,3.11E+05
32,島根県,Shimane,7.25E+05,3.45E+05,3.80E+05
33,岡山県,Okayama,1.95E+06,9.34E+05,1.01E+06
34,広島県,Hiroshima,2.87E+06,1.39E+06,1.48E+06
35,山口県,Yamaguchi,1.46E+06,6.89E+05,7.74E+05
36,徳島県,Tokushima,7.94E+05,3.77E+05,4.17E+05
37,香川県,Kagawa,1.00E+06,4.81E+05,5.21E+05
38,愛媛県,Ehime,1.44E+06,6.79E+05,7.65E+05
39,高知県,Kochi,7.73E+05,3.62E+05,4.11E+05
40,福岡県,Fukuoka,5.05E+06,2.39E+06,2.66E+06
41,佐賀県,Saga,8.56E+05,4.02E+05,4.54E+05
42,長崎県,Nagasaki,1.44E+06,6.71E+05,7.69E+05
43,熊本県,Kumamoto,1.82E+06,8.56E+05,9.65E+05
44,大分県,Oita,1.20E+06,5.66E+05,6.35E+05
45,宮崎県,Miyazaki,1.14E+06,5.33E+05,6.03E+05
46,鹿児島県,Kagoshima,1.72E+06,8.00E+05,9.17E+05
47,沖縄県,Okinawa,1.38E+06,6.74E+05,7.02E+05
